skill_id,skill_name,skill_type,reuse_level,esco_skill_id,description
safeguard-online-privacy-and-identity,safeguard online privacy and identity,skill/competence,cross-sector,key_10245,"Apply methods and procedures to secure private information in digital spaces by limiting the sharing of personal data where possible, through use of passwords and settings on social networks, mobile device apps, cloud storage and other places, while ensuring other people's privacy; protect oneself from online fraud and threats and cyberbullying."
execute-ict-user-research-activities,execute ICT user research activities,skill/competence,sector-specific,key_10249,"Perform research tasks such as recruitment of participants, scheduling of tasks, collecting of empirical data, data analysis and production of materials in order to assess the interaction of users with an ICT system, program or application."
ml-computer-programming,ML (computer programming),knowledge,sector-specific,key_10255,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ML."
ibm-websphere,IBM WebSphere,knowledge,sector-specific,key_10259,The application server IBM WebSphere provides flexible and secure Java EE runtime environments to support application infrastructure and deployments.
printed-goods-processes,printed goods processes,knowledge,cross-sector,key_10270,"The various types and characteristics of producing printed goods such as catalogues, flyers, etc."
audio-technology,audio technology,knowledge,cross-sector,key_10275,"The various technologies for producing, recording, and reproducing sound."
information-confidentiality,information confidentiality,knowledge,sector-specific,key_10287,"The mechanisms and regulations which allow for selective access control and guarantee that only authorised parties (people, processes, systems and devices) have access to data, the way to comply with confidential information and the risks of non-compliance."
inspect-data,inspect data,skill/competence,cross-sector,key_10289,"Analyse, transform and model data in order to discover useful information and to support decision-making."
ldap,LDAP,knowledge,sector-specific,key_10293,The computer language LDAP is a query language for retrieval of information from a database and of documents containing the needed information.
mentor-individuals,mentor individuals,skill/competence,cross-sector,key_10297,"Mentor individuals by providing emotional support, sharing experiences and giving advice to the individual to help them in their personal development, as well as adapting the support to the specific needs of the individual and heeding their requests and expectations."
multimedia-systems,multimedia systems,knowledge,cross-sector,key_10300,"The methods, procedures and techniques pertaining to the operation of multimedia systems, usually a combination of software and hardware, presenting various types of media such as video and audio."
study-relationships-between-characters,study relationships between characters,skill/competence,sector-specific,key_10302,Study characters in scripts and their relationships to each other.
teamwork-principles,teamwork principles,knowledge,cross-sector,key_10308,"The cooperation between people characterised by a unified commitment to achieving a given goal, participating equally, maintaining open communication, facilitating effective usage of ideas etc."
adjust-projector,adjust projector,skill/competence,sector-specific,key_10366,Adjust the controls of projection equipment to obtain a clear and well-positioned image.
graphics-editor-software,graphics editor software,knowledge,sector-specific,key_10379,"The field of graphical ICT tools which enable digital editing and composition of graphics, such as GIMP, Adobe Photoshop and Adobe Illustrator, to develop both 2D raster or 2D vector graphics."
havok-vision,Havok Vision,knowledge,sector-specific,key_10400,"The game engine that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
apply-reverse-engineering,apply reverse engineering,skill/competence,sector-specific,key_10408,"Use techniques to extract information or disassemble an ICT component, software or system in order to analyse, correct and reassemble or reproduce it."
data-storage,data storage,knowledge,sector-specific,key_10420,"The physical and technical concepts of how digital data storage is organised in specific schemes both locally, such as hard-drives and random-access memories (RAM) and remotely, via network, internet or cloud."
develop-online-community-plan,develop online community plan,skill/competence,sector-specific,key_10422,"Create the community's plan to grow the online community, build usage, retain recent users and increase the user's participation."
manage-data-collection-systems,manage data collection systems,skill/competence,sector-specific,key_10425,"Develop and manage methods and strategies used to maximise data quality and statistical efficiency in the collection of data, in order to ensure the gathered data are optimised for further processing."
legal-requirements-of-ict-products,legal requirements of ICT products,knowledge,cross-sector,key_10436,The international regulations related to the development and use of ICT products.
legal-research,legal research,knowledge,cross-sector,key_10439,"The methods and procedures of research in legal matters, such as the regulations, and different approaches to analyses and source gathering, and the knowledge on how to adapt the research methodology to a specific case to obtain the required information."
interact-with-users-to-gather-requirements,interact with users to gather requirements,skill/competence,sector-specific,key_10445,Communicate with users to identify their requirements and collect them. Define all relevant user requirements and document them in an understandable and logical way for further analysis and specification.
litmos,Litmos,knowledge,sector-specific,key_10446,"The computer program Litmos is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the software company CallidusCloud."
manage-data-for-legal-matters,manage data for legal matters,skill/competence,sector-specific,key_10451,"Collect, organise and prepare data for analysis and review during investigation, regulatory filings and other legal processes."
synthesise-research-publications,synthesise research publications,skill/competence,cross-sector,key_10455,"Read and interpret scientific publications that present a research problem, the methodology, its solution and hypothesis. Compare them and extract the information needed."
postgresql,PostgreSQL,knowledge,sector-specific,key_10460,"The computer program PostgreSQL is a free and open-source software tool for creating, updating and managing databases, developed by the PostgreSQL Global Development Group."
manage-personal-professional-development,manage personal professional development,skill/competence,cross-sector,key_10461,Take responsibility for lifelong learning and continuous professional development. Engage in learning to support and update professional competence. Identify priority areas for professional development based on reflection about own practice and through contact with peers and stakeholders. Pursue a cycle of self-improvement and develop credible career plans.
draft-design-specifications,draft design specifications,skill/competence,cross-sector,key_10462,List the design specifications such as materials and parts to be used and a cost estimate.
keep-records-of-attendance,keep records of attendance,skill/competence,cross-sector,key_10472,Keep track of the pupils who are absent by recording their names on a list of absentees.
sakai,Sakai,knowledge,sector-specific,key_10495,"The computer program Sakai is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the software company Apereo."
specify-digital-game-scenes,specify digital game scenes,skill/competence,occupation-specific,key_10498,"Describe scenes of digital games by communicating and cooperating with artistic crew, designers and artists in order to define the scope of the game's virtual environments."
use-precision-tools,use precision tools,skill/competence,cross-sector,key_10505,"Use electronic, mechanical, electric, or optical precision tools, such as drilling machines, grinders, gear cutters and milling machines to boost accuracy while machining products."
operate-electronic-measuring-instruments,operate electronic measuring instruments,skill/competence,sector-specific,key_10513,"Tend a wide variety of devices for measuring electronic characteristics of system components, such as optical power meter, fibre power meter, digital power meter and multimeter."
manage-localisation,manage localisation,skill/competence,cross-sector,key_10516,Modify content or a product for the transference from one locale to another through the use of content translation or localisation service providers.
impart-business-plans-to-collaborators,impart business plans to collaborators,skill/competence,cross-sector,key_10518,"Diffuse, present, and communicate business plans and strategies to managers, employees making sure that objectives, actions, and important messages are properly conveyed."
execute-conversion-testing,execute conversion testing,skill/competence,occupation-specific,key_10521,"Plan, execute and measure conversion tests and experiments to test the possibility to convert one data format into another."
adhere-to-organisational-guidelines,adhere to organisational guidelines,skill/competence,cross-sector,key_10534,Adhere to organisational or department specific standards and guidelines. Understand the motives of the organisation and the common agreements and act accordingly.
integrate-marketing-strategies-with-the-global-strategy,integrate marketing strategies with the global strategy,skill/competence,cross-sector,key_10546,"Integrate the marketing strategy and its elements such as the market definition, competitors, price strategy, and communication with the general guidelines of the global strategy of the company."
create-advertisements,create advertisements,skill/competence,sector-specific,key_10547,"Use your creativity to draft advertiments. Keep in mind the costumer's requirements, target audience, media and marketing objectives."
manage-rented-goods-returns,manage rented goods returns,skill/competence,cross-sector,key_10572,Organise the return of rented goods to the distributor.
database-management-systems,database management systems,knowledge,sector-specific,key_10587,"The tools for creating, updating and managing databases, such as Oracle, MySQL and Microsoft SQL Server."
evaluate-cost-of-software-products,evaluate cost of software products,skill/competence,occupation-specific,key_10589,"Apply methods and techniques to estimate and evaluate the cost of software products during their life-cycle phases, including development and acquisition costs, cost of maintenance, incorporated cost of quality-compliance and non-compliance associated costs."
maintain-ict-identity-management,maintain ICT identity management,skill/competence,sector-specific,key_10598,"Administer identification, authentication and authorisation of individuals within a system and control their access to resources by associating user rights and restrictions with the established identity."
supervise-brand-management,supervise brand management,skill/competence,cross-sector,key_10602,"Supervise the promotion of a particular brand of goods, by liaising with the appropriate departments."
manage-inventory,manage inventory,skill/competence,sector-specific,key_10604,Control product inventory in balance of availability and storage costs.
design-database-backup-specifications,design database backup specifications,skill/competence,sector-specific,key_10605,Specify procedures to be performed on databases which ensure the copying and archiving of data for possible restoration in case of a data loss event.
advertising-techniques,advertising techniques,knowledge,cross-sector,key_10621,"The communication strategies intended to persuade or encourage an audience, and the different media which are used to achieve this goal."
operate-projector,operate projector,skill/competence,occupation-specific,key_10631,Operate projection equipment manually or with a control panel.
augmented-reality,augmented reality,knowledge,cross-sector,key_10637,"The process of adding diverse digital content (such as images, 3D objects, etc) on surfaces that exist in the real world. The user can interact in real-time with the technology by using devices such as mobile phones."
transcribe-ideas-into-musical-notation,transcribe ideas into musical notation,skill/competence,sector-specific,key_10656,"Transcribe/translate musical ideas into musical notation, using instruments, pen and paper, or computers."
types-of-pottery-material,types of pottery material,knowledge,sector-specific,key_10657,"Types of clays and mud and their appearance, properties, reaction to fire, etc."
manage-content-development-projects,manage content development projects,skill/competence,sector-specific,key_10658,"Plan and implement the creation, delivery and management of digital or printed content, develop a system that describes the entire editorial content development and publishing process and use ICT tools to support the process."
implement-a-virtual-private-network,implement a virtual private network,skill/competence,sector-specific,key_10686,"Create an encrypted connection between private networks, such as different local networks of a company, over the internet to ensure that only authorized users can access it and that the data cannot be intercepted."
oversee-clinical-information-system-activities,oversee clinical information system activities,skill/competence,occupation-specific,key_10690,"Supervise and oversee day-to-day operational and clinical information system activities such as CIS, which are used for collecting and storing clinical information regarding the healthcare delivery process."
clinical-science,clinical science,knowledge,sector-specific,key_10691,"The research and development of the techniques and equipment used by medical staff to prevent, diagnose and treat illness."
develop-revenue-generation-strategies,develop revenue generation strategies,skill/competence,sector-specific,key_10698,Elaborate methodologies through which a company markets and sells a product or service to generate income.
statistical-analysis-system-software,statistical analysis system software,knowledge,cross-sector,key_10706,"Specific software system (SAS) used for advanced analytics, business intelligence, data management, and predictive analytics."
draft-bill-of-materials,draft bill of materials,skill/competence,cross-sector,key_10717,"Set up a list of materials, components, and assemblies as well as the quantities needed to manufacture a certain product."
manage-healthcare-staff,manage healthcare staff,knowledge,cross-sector,key_10732,The managerial tasks and responsibilities required in a health care setting.
manual-draughting-techniques,manual draughting techniques,knowledge,cross-sector,key_10743,"Techniques used for creating detailed drawings of designs by using specialised pencils, rulers, templates and scales."
compare-contractors-bids,compare contractors' bids,skill/competence,cross-sector,key_10746,Compare proposals to award a contract in order to execute specified jobs within a prescribed frame of time.
manage-ict-virtualisation-environments,manage ICT virtualisation environments,skill/competence,sector-specific,key_10750,"Oversee tools, such as VMware, kvm, Xen, Docker, Kubernetes, and others, used to enable a virtual environments for different purposes such as hardware virtualization, desktop virtualisation, and operating system level virtualisation."
develop-food-scanner-devices,develop food scanner devices,skill/competence,sector-specific,key_10761,"Design and develop food scanning technologies that provide information on the level of allergens, chemicals, nutrients, calories and on ingredients in food."
develop-code-exploits,develop code exploits,skill/competence,sector-specific,key_10803,Create and test software exploits in a controlled environment to uncover and check system bugs or vulnerabilities.
operate-broadcast-equipment,operate broadcast equipment,skill/competence,sector-specific,key_10806,"Operate broadcast equipment to produce, switch, receive, record, edit, and reproduce television and radio signals."
coordinate-technological-activities,coordinate technological activities,skill/competence,sector-specific,key_10810,Give instructions to colleagues and other cooperating parties in order to reach the desired outcome of a technological project or achieve set goals within an organisation dealing with technology.
apparel-manufacturing-technology,apparel manufacturing technology,knowledge,sector-specific,key_10815,"Traditional and advanced apparel manufacturing technologies. Technologies including processes, machinery, etc. in order to compile and design pattern requirements, contribute to product costing and finalise assembly sequence and quality assurance criteria."
parrot-security-os,Parrot Security OS,knowledge,sector-specific,key_10829,"The operating system Parrot Security is a Linux distribution which performs penetration cloud testing, analysing security weaknesses for potentially unauthorised access."
design-application-interfaces,design application interfaces,skill/competence,sector-specific,key_10837,"Create and program application interfaces, their operations, inputs and outputs and underlying types."
market-analysis,market analysis,knowledge,cross-sector,key_10839,The field of market analysis and research and its particular research methods.
manage-closed-circuit-television-system,manage closed-circuit television system,skill/competence,cross-sector,key_10852,Oversee a system of cameras inside a facility which transmit a signal to a specific set of display devices.
unreal-engine,Unreal Engine,knowledge,sector-specific,key_10857,"The game engine Unreal Engine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
analyse-business-requirements,analyse business requirements,skill/competence,cross-sector,key_10859,Study clients' needs and expectations for a product or service in order to identify and resolve inconsistencies and possible disagreements of involved stakeholders.
content-marketing-strategy,content marketing strategy,knowledge,cross-sector,key_10862,The process of creation and share of media and publishing content in order to acquire customers.
produce-sales-reports,produce sales reports,skill/competence,sector-specific,key_10863,"Maintain records of calls made and products sold over a given time frame, including data regarding sales volumes, number of new accounts contacted and the costs involved."
read-engineering-drawings,read engineering drawings,skill/competence,cross-sector,key_10871,"Read the technical drawings of a product made by the engineer in order to suggest improvements, make models of the product or operate it."
online-analytical-processing,online analytical processing,knowledge,sector-specific,key_10877,"The online tools which analyse, aggregate and present multi-dimensional data enabling users to interactively and selectively extract and view data from specific points of view."
synfig,Synfig,knowledge,sector-specific,key_10879,The computer program Synfig is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by Robert Quattlebaum.
develop-account-strategy,develop account strategy,skill/competence,cross-sector,key_10881,Create the strategic goals and actions for future interaction with an account for the organisation.
ict-system-programming,ICT system programming,knowledge,sector-specific,key_10890,"The methods and tools required to develop system software, specifications of system architectures and interfacing techniques between network and system modules and components."
e-commerce-systems,e-commerce systems,knowledge,sector-specific,key_10899,"Basic digital architecture and commercial transactions for trading products or services conducted via Internet, e-mail, mobile devices, social media, etc."
store-film-reels,store film reels,skill/competence,occupation-specific,key_10901,Store film reels safely after projection and after removing the markings.
adjust-ict-system-capacity,adjust ICT system capacity,skill/competence,sector-specific,key_10909,"Change the scope of an ICT system by adding or reallocating additional ICT system components, such as network components, servers or storage to meet capacity or volume demands."
open-source-model,Open source model,knowledge,sector-specific,key_10910,"The open source model consists of principles and fundamentals of service-oriented modelling for business and software systems that allow the design and specification of service-oriented business systems within a variety of architectural styles, such as enterprise architecture."
jboss,Jboss,knowledge,sector-specific,key_10911,The open-source application server JBoss is a Linux based platform which supports Java applications and large websites.
design-materials-for-multimedia-campaigns,design materials for multimedia campaigns,skill/competence,cross-sector,key_10921,"Draft and develop materials to be produced for a multimedia campaign, keeping in mind budgeting, scheduling and production."
supervise-work,supervise work,skill/competence,cross-sector,key_10941,Direct and supervise the day-to-day activities of subordinate personnel.
ensure-cross-department-cooperation,ensure cross-department cooperation,skill/competence,cross-sector,key_10949,"Guarantee communication and cooperation with all the entities and teams in a given organisation, according to the company strategy."
medical-informatics,medical informatics,knowledge,cross-sector,key_10951,The processes and tools used for the analysis and dissemination of medical data through computerized systems.
follow-research-on-special-needs-education,follow research on special needs education,skill/competence,sector-specific,key_10959,Keep up to date with new studies and related upcoming regulations concerning education for students with special needs.
convert-into-animated-object,convert into animated object,skill/competence,sector-specific,key_10986,"Convert real objects into visual animation elements, using animation techniques such as optical scanning."
follow-directions-of-the-artistic-director,follow directions of the artistic director,skill/competence,cross-sector,key_10992,Follow the instructions of the director while understanding his creative vision.
demonstrate-when-teaching,demonstrate when teaching,skill/competence,cross-sector,key_10996,"Present to others examples of your experience, skills, and competences that are appropriate to specific learning content to help students in their learning."
use-cad-software,use CAD software,skill/competence,cross-sector,key_11003,"Use computer-aided design (CAD) systems to assist in the creation, modification, analysis, or optimisation of a design."
assemble-video-tape-footage,assemble video tape footage,skill/competence,sector-specific,key_11005,"Assemble all raw video footage, with camera shots either recorded or transferred onto video tape in preparation for inputting into the computer."
apply-blended-learning,apply blended learning,skill/competence,cross-sector,key_11006,"Be familiar with blended learning tools by combining traditional face-to-face and online learning, using digital tools, online technologies, and e-learning methods."
configure-ict-system,configure ICT system,skill/competence,sector-specific,key_11029,Set up and customise an ICT system to meet requirements during initial implementation as well as when new business needs arise.
advise-on-environmental-remediation,advise on environmental remediation,skill/competence,cross-sector,key_11049,Advise on the development and implementation of actions which aim to remove sources of pollution and contamination from the environment.
check-system-parameters-against-reference-values,check system parameters against reference values,skill/competence,cross-sector,key_11051,Make sure that the measurable factors which define the operation of a system correspond to the predetermined norms.
maintain-telephony-system,maintain telephony system,skill/competence,sector-specific,key_11066,"Prevent telephone faults. Report to the electricians for changing of the equipment and manage telephone installations and moves. Maintain voice-mail system which includes adding, deleting mailboxes and managing security codes and provide voicemail instruction for staff."
repair-ict-devices,repair ICT devices,skill/competence,sector-specific,key_11071,"Maintain and repair ICT related equipment such as laptops, desktops, tablets, mobile devices, communications equipment, printers and any piece of computer related peripheral. Detect faults, malfunctions and replace parts if necessary."
ajax,AJAX,knowledge,sector-specific,key_11098,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in AJAX."
call-quality-assurance-management,call quality assurance management,knowledge,cross-sector,key_11109,Recording systems and monitoring procedures used in keeping track of call quality and methods for improvement.
operate-audio-equipment,operate audio equipment,skill/competence,sector-specific,key_11130,"Apply technologies for re-creation or recording of sounds, such as speaking, sound of instruments in electrical or mechanical form."
database-quality-standards,database quality standards,knowledge,sector-specific,key_11133,"Techniques and methods of estimation and evaluation of system quality and overall database quality, as well as the set quality standards and regulations."
c,C++,knowledge,sector-specific,key_11154,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in C++."
provide-guidelines-for-content-development,provide guidelines for content development,skill/competence,sector-specific,key_11156,"Develop standards and structures for content development such as formats, styles, layout, structures, content types, terminology, XML and DITA. Implement them in document type definitions and apply them during work process and evaluate results in light of established standards."
collaborate-in-the-development-of-marketing-strategies,collaborate in the development of marketing strategies,skill/competence,cross-sector,key_11175,Work together with a group of professionals to develop marketing strategies performing market analysis and financial viability while staying aligned with the company's goals.
work-safely-with-mobile-electrical-systems-under-supervision,work safely with mobile electrical systems under supervision,skill/competence,sector-specific,key_11179,Take the necessary precautions while providing temporary power distribution for performance and art facility purposes under supervision.
develop-digital-educational-materials,develop digital educational materials,skill/competence,cross-sector,key_11192,"Create resources and instructional materials (e-learning, educational video and audio material, educational prezi) using digital technologies to transfer insight and awareness in order to improve learners’ expertise."
work-with-respect-for-own-safety,work with respect for own safety,skill/competence,cross-sector,key_11208,Apply the safety rules according to training and instruction and based on a solid understanding of the prevention measures and risks to your own personal health and safety.
manage-digital-documents,manage digital documents,skill/competence,cross-sector,key_11220,"Manage various data formats and files by naming, publishing, transforming and sharing files and documents and transforming file formats."
take-measurements-of-performance-space,take measurements of performance space,skill/competence,occupation-specific,key_11223,Measure the performance space in order to calculate the amount of lighting equipment needed and where to place them.
communication-disorders,communication disorders,knowledge,cross-sector,key_11226,"The malfunction in a person's ability to comprehend, process and share concepts in various forms, such as verbal, non verbal or graphical during language, hearing, and speech communication processes."
work-with-virtual-learning-environments,work with virtual learning environments,skill/competence,cross-sector,key_11227,Incorporate the use of online learning environments and platforms into the process of instruction.
ensure-client-orientation,ensure client orientation,skill/competence,cross-sector,key_11236,Take actions which support business activities by considering client needs and satisfaction. This can be translated into developing a quality product appreciated by customers or dealing with community issues.
analyse-supply-chain-trends,analyse supply chain trends,skill/competence,sector-specific,key_11243,"Analyse and make predictions about trends and evolutions in supply chain operations in relation to technology, efficiency systems, types of products shipped, and logistical requirements for shipments, in order to remain at the forefront of supply chain methodologies."
teach-computer-science,teach computer science,skill/competence,sector-specific,key_11254,"Instruct students in the theory and practice of computer science, more specifically in the development of software systems, programming languages, artificial intelligence, and software security."
ensure-adherence-to-organisational-ict-standards,ensure adherence to organisational ICT standards,skill/competence,sector-specific,key_11256,"Guarantee that the state of events is in accordance with the ICT rules and procedures described by an organisation for their products, services and solutions."
present-artistic-design-proposals,present artistic design proposals,skill/competence,cross-sector,key_11269,"Prepare and present detailed design suggestions for a specific production to a mixed group of people, including technical, artistic and management staff."
identify-cross-curricular-links-with-other-subject-areas,identify cross-curricular links with other subject areas,skill/competence,sector-specific,key_11277,Recognise correlations and overlaps between your subject of expertise and other subjects. Decide on a levelled approach to the material with the teacher of the associated subject and adjust lesson plans accordingly.
manage-signoff-of-an-installed-system,manage signoff of an installed system,skill/competence,sector-specific,key_11286,Make sure an installed technical system is adequately transferred and signed off for.
mobile-device-software-frameworks,mobile device software frameworks,knowledge,sector-specific,key_11287,"The API (Application Program Interfaces), such as Android, iOS, windows phone which enables programmers to quickly and easily write applications for mobile devices."
filemaker-database-management-systems,Filemaker (database management systems),knowledge,sector-specific,key_11298,"The computer program FileMaker is a tool for creating, updating and managing databases, developed by the software company FileMaker Inc."
manage-portfolio,manage portfolio,skill/competence,cross-sector,key_11299,Maintain a personal portfolio by selecting your best photos or work and regularly adding new ones in order to show your professional skills and development.
lead-technology-development-of-an-organisation,lead technology development of an organisation,skill/competence,sector-specific,key_11302,Develop activities surrounding innovation and research in the field of technology within an organisation based on its strategic direction and growth goals. Provide guidance to colleagues how to best implement them.
use-measurement-instruments,use measurement instruments,skill/competence,cross-sector,key_11305,"Use different measurement instruments depending on the property to be measured. Utilise various instruments to measure length, area, volume, speed, energy, force, and others."
repair-equipment-on-site,repair equipment on site,skill/competence,cross-sector,key_11306,"Identify malfunctions and repair or replace multi-media, audio-visual and computer systems, hardware and equipment on site."
electric-drives,electric drives,knowledge,sector-specific,key_11318,Electromechanical systems that utilise electric motors to control the movement and processes of electrical machinery.
manage-archive-users-guidelines,manage archive users guidelines,skill/competence,sector-specific,key_11324,Establish policy guidelines on public access to a (digital) archive and the cautious use of present materials. Communicate the guidelines to archive visitors.
implement-sales-strategies,implement sales strategies,skill/competence,sector-specific,key_11325,Carry out the plan to gain competitive advantage on the market by positioning the company's brand or product and by targeting the right audience to sell this brand or product to.
maintain-internet-protocol-configuration,maintain internet protocol configuration,skill/competence,sector-specific,key_11332,Apply Internet Protocol Configuration (ipconfig) to gather data on Transmission Control Protocol/Internet Protocol (TCP/IP) configuration values in order to identify devices and their IP addresses.
give-constructive-feedback,give constructive feedback,skill/competence,cross-sector,key_11334,"Provide founded feedback through both criticism and praise in a respectful, clear, and consistent manner. Highlight achievements as well as mistakes and set up methods of formative assessment to evaluate work."
identify-legal-requirements,identify legal requirements,skill/competence,cross-sector,key_11335,"Conduct research for applicable legal and normative procedures and standards, analyse and derive legal requirements that apply to the organisation, its policies and products."
address-problems-critically,address problems critically,skill/competence,cross-sector,key_11340,"Identify the strengths and weaknesses of various abstract, rational concepts, such as issues, opinions, and approaches related to a specific problematic situation in order to formulate solutions and alternative methods of tackling the situation."
blackberry,BlackBerry,knowledge,sector-specific,key_11346,"The system software BlackBerry consists of features, restrictions, architectures and other characteristics of operating systems designed to run on mobile devices."
maintain-electronic-equipment,maintain electronic equipment,skill/competence,cross-sector,key_11353,"Check and repair electronic equipment. Detect malfunction, locate faults and take measures to prevent damage."
design-prototypes,design prototypes,skill/competence,cross-sector,key_11375,Design prototypes of products or components of products by applying design and engineering principles.
samurai-web-testing-framework,Samurai Web Testing Framework,knowledge,sector-specific,key_11385,The linux environment Samurai Web Testing Framework is a specialised penetration testing tool which tests security weaknesses of websites for potentially unauthorised access.
develop-statistical-software,develop statistical software,skill/competence,cross-sector,key_11393,"Participate in the various development stages of computer programs for econometric and statistical analysis, such as research, new product development, prototyping, and maintenance."
implement-anti-virus-software,implement anti-virus software,skill/competence,sector-specific,key_11394,"Download, install and update software to prevent, detect and remove malicious software, such as computer viruses."
define-ict-network-design-policies,define ICT network design policies,skill/competence,occupation-specific,key_11402,"Specify policies, principles, rules, processes and criteria for the design, planning and realisation of ICT networks."
mix-live-images,mix live images,skill/competence,sector-specific,key_11413,Follow different video streams of a live event and mix them together using specialised equipment and software.
sap-r3,SAP R3,knowledge,sector-specific,key_11415,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAP R3."
model-hardware,model hardware,skill/competence,sector-specific,key_11419,Model and simulate computer hardware using technical design software. Assess the viability of the product and examine the physical parameters to ensure a successful production process.
conduct-performance-tests,conduct performance tests,skill/competence,cross-sector,key_11424,"Conduct experimental, environmental and operational tests on models, prototypes or on the systems and equipment itself in order to test their strength and capabilities under normal and extreme conditions."
coordinate-music-with-scenes,coordinate music with scenes,skill/competence,sector-specific,key_11435,Coordinate the selection of music and sounds so they match the mood of the scene.
use-e-procurement,use e-procurement ,skill/competence,sector-specific,key_11439,"Use digital procurement technologies and e-procurement applications and tools in order to reduce administrative burden, improve efficiency, and strengthen transparency and accountability of procurement procedures."
