skill_id,skill_name,skill_type,reuse_level,description
adjust-projector,adjust projector,skill/competence,sector-specific,Adjust the controls of projection equipment to obtain a clear and well-positioned image.
adjust-video-transmissions,adjust video transmissions,skill/competence,occupation-specific,"Adjust the fidelity, brightness, and contrast of video transmissions by using video console control panels."
administer-ict-system,administer ICT system,skill/competence,sector-specific,"Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements."
adobe-illustrator,Adobe Illustrator,knowledge,sector-specific,The computer program Adobe Illustrator CC is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.
adobe-photoshop,Adobe Photoshop,knowledge,sector-specific,The computer program Adobe Photoshop is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.
adobe-photoshop-lightroom,Adobe Photoshop Lightroom,knowledge,sector-specific,The computer program Adobe Photoshop Lightroom is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.
adolescent-socialisation-behaviour,adolescent socialisation behaviour,knowledge,cross-sector,"The social dynamics through which young adults live amongst each other, expressing their likes and dislikes and the rules of communication between generations."
advertising-techniques,advertising techniques,knowledge,cross-sector,"The communication strategies intended to persuade or encourage an audience, and the different media which are used to achieve this goal."
advise-client-on-technical-possibilities,advise client on technical possibilities,skill/competence,cross-sector,"Recommend technical solutions, including systems, to the client within the framework of a project."
advise-on-environmental-remediation,advise on environmental remediation,skill/competence,cross-sector,Advise on the development and implementation of actions which aim to remove sources of pollution and contamination from the environment.
advise-on-government-policy-compliance,advise on government policy compliance,skill/competence,cross-sector,"Advise organisations on how they may improve their compliance to the applicable government policies they are required to adhere to, and the necessary steps which need to be taken in order to ensure complete compliance."
advise-on-lesson-plans,advise on lesson plans,skill/competence,cross-sector,"Advise on the ways in which lesson plans for specific lessons can be improved in order to reach education goals, engage the students and adhere to the curriculum."
advise-on-machinery-malfunctions,advise on machinery malfunctions,skill/competence,cross-sector,Offer advice to service technicians in case of machinery malfunctions and other technical repair tasks.
advise-on-safety-improvements,advise on safety improvements,skill/competence,cross-sector,Provide relevant recommendations following the conclusion of an investigation; ensure that recommendations are duly considered and where appropriate acted upon.
advise-on-strengthening-security,advise on strengthening security,skill/competence,sector-specific,Provide information and guidance to clients on how to prevent security threats and incidents.
advise-on-teaching-methods,advise on teaching methods,skill/competence,cross-sector,"Advise education professionals on the proper adaptation of curricula in lesson plans, classroom management, professional conduct as a teacher, and other activities and methods related to teaching."
advise-on-training-courses,advise on training courses,skill/competence,cross-sector,"Provide information on possible training options or qualifications and available funding resources, depending on the needs and educational background of the individual."
aesthetics,aesthetics,knowledge,cross-sector,Set of principles based on which something is appealing and beautiful.
agile-development,Agile development,knowledge,sector-specific,The agile development model is a methodology to design software systems and applications.
agile-project-management,Agile project management,knowledge,sector-specific,"The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools."
aircrack-penetration-testing-tool,Aircrack (penetration testing tool),knowledge,sector-specific,"The computer program Aircrack is a cracking program which recovers 802.11 WEP and WPA-PSK keys by making several network attacks such as FMS, KoreK and PTW attacks."
ajax,AJAX,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in AJAX."
ajax-framework,Ajax Framework,knowledge,sector-specific,The Ajax software development environments which provide specific features and components that support and guide web applications development.
algorithms,algorithms,knowledge,cross-sector,"The self-contained step-by-step sets of operations that carry out calculations, data processing and automated reasoning, usually to solve problems."
align-antennae-with-receiving-dishes,align antennae with receiving dishes,skill/competence,occupation-specific,Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from field locations.
align-components,align components,skill/competence,cross-sector,Align and lay out components in order to put them together correctly according to blueprints and technical plans.
align-content-with-form,align content with form,skill/competence,cross-sector,Align form and content to make sure they fit together.
align-efforts-towards-business-development,align efforts towards business development,skill/competence,cross-sector,"Synchronise the efforts, plans, strategies, and actions carried out in departments of companies towards the growth of business and its turnover. Keep business development as the ultimate outcome of any effort of the company."
align-software-with-system-architectures,align software with system architectures,skill/competence,sector-specific,Put system design and technical specifications in line with software architecture in order to ensure the integration and interoperability between components of the system.
analog-electronics-theory,analog electronics theory,knowledge,sector-specific,The theory based on analogue circuits in which volumes (voltage or current) continuously vary over time.
analyse-a-script,analyse a script,skill/competence,sector-specific,"Break down a script by analysing the dramaturgy, form, themes and structure of a script. Conduct relevant research if necessary."
analyse-big-data,analyse big data,skill/competence,cross-sector,"Collect and evaluate numerical data in large quantities, especially for the purpose of identifying patterns between the data."
analyse-business-processes,analyse business processes,skill/competence,cross-sector,Study the contribution of the work processes to the business goals and monitor their efficiency and productivity.
analyse-business-requirements,analyse business requirements,skill/competence,cross-sector,Study clients' needs and expectations for a product or service in order to identify and resolve inconsistencies and possible disagreements of involved stakeholders.
analyse-clothing-3d-prototypes,analyse clothing 3d prototypes,skill/competence,occupation-specific,Analyse the prototype in order to adjust the pattern of clothing elements on the 3D avatar.
analyse-consumer-buying-trends,analyse consumer buying trends,skill/competence,cross-sector,Analyse buying habits or currently prevalent customer behaviour.
analyse-customer-service-surveys,analyse customer service surveys,skill/competence,cross-sector,Analyse results from surveys completed by passengers/customer. Analyse results to identify trends and draw conclusions.
analyse-environmental-data,analyse environmental data,skill/competence,sector-specific,Analyse data that interpret correlations between human activities and environmental effects.
analyse-external-factors-of-companies,analyse external factors of companies,skill/competence,cross-sector,"Perform research and analysis of the external factor pertaining to companies such as consumers, position in the market, competitors, and political situation."
analyse-ict-system,analyse ICT system,skill/competence,sector-specific,"Analyse the functioning and performance of information systems in order to define their goals, architecture and services and set procedures and operations to meet end users requirements."
analyse-ict-technical-proposals,analyse ICT technical proposals,skill/competence,occupation-specific,"Compare and assess technical requirements of an ICT product, service or solution in terms of quality, costs and compliance to specifications"
analyse-information-systems,analyse information systems,skill/competence,occupation-specific,"Conduct analyses of information systems such as archives, libraries and documentation centers to verify their effectiveness. Develop specific problem solving techniques in order to improve the performance of the systems."
analyse-internal-factors-of-companies,analyse internal factors of companies,skill/competence,cross-sector,"Research and understand various internal factors that influence the operation of companies such as its culture, strategic foundation, products, prices, and available resources."
analyse-large-scale-data-in-healthcare,analyse large-scale data in healthcare,skill/competence,sector-specific,"Carry out large-scale data gathering such as questionnaire surveys, and analyse the obtained data."
analyse-legal-enforceability,analyse legal enforceability,skill/competence,cross-sector,"Examine the client's present situation, ideas and wishes under a legal perspective to assess their legal justification or enforceability."
analyse-network-bandwidth-requirements,analyse network bandwidth requirements,skill/competence,sector-specific,Study the requirements on the transmission capacity of an ICT network or other telecommunication system.
analyse-network-configuration-and-performance,analyse network configuration and performance,skill/competence,sector-specific,"Analyse essential network data (e.g., router configuration files, routing protocols), network traffic capacity and performance characteristics of ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data."
analyse-scanned-data-of-the-body,analyse scanned data of the body,skill/competence,sector-specific,"Analyse 3D scanned data for the development of prototypes, of avatars, for the creation of size charts, the garment pattern modification, alteration and manipulation, and for testing fit."
analyse-score,analyse score,skill/competence,sector-specific,"Analysing the score, form, themes and structure of a piece of music."
analyse-software-specifications,analyse software specifications,skill/competence,sector-specific,"Assess the specifications of a software product or system to be developed by identifying functional and non-functional requirements, constraints and possible sets of use cases which illustrate interactions between the software and its users."
analyse-staff-capacity,analyse staff capacity,skill/competence,cross-sector,"Evaluate and identify staffing gaps in quantity, skills, performance revenue and surpluses."
analyse-supply-chain-strategies,analyse supply chain strategies,skill/competence,cross-sector,"Examine an organisation's planning details of production, their expected output units, quality, quantity, cost, time available and labour requirements. Provide suggestions in order to improve products, service quality and reduce costs."
analyse-supply-chain-trends,analyse supply chain trends,skill/competence,sector-specific,"Analyse and make predictions about trends and evolutions in supply chain operations in relation to technology, efficiency systems, types of products shipped, and logistical requirements for shipments, in order to remain at the forefront of supply chain methodologies."
analyse-test-data,analyse test data,skill/competence,cross-sector,"Interpret and analyse data collected during testing in order to formulate conclusions, new insights or solutions."
analyse-texts-to-be-illustrated,analyse texts to be illustrated,skill/competence,sector-specific,Analyse texts to be illustrated by researching and checking sources.
analyse-the-artistic-concept-based-on-stage-actions,analyse the artistic concept based on stage actions,skill/competence,sector-specific,"Analyse the artistic concept, form and structure of a live performance based on observation during rehearsals or improvisation. Create a structured base for the design process of a specific production."
analyse-the-context-of-an-organisation,analyse the context of an organisation,skill/competence,cross-sector,Study the external and internal environment of an organisation by identifying its strengths and weaknesses in order to provide a base for company strategies and further planning.
analyse-the-need-for-technical-resources,analyse the need for technical resources,skill/competence,sector-specific,Define and make a list of the required resources and equipment based on the technical needs of the production.
analyse-the-scenography,analyse the scenography,skill/competence,sector-specific,Analyse the selection and distribution of material elements on a stage.
analyse-work-related-written-reports,analyse work-related written reports,skill/competence,cross-sector,"Read and comprehend job-related reports, analyse the content of reports and apply findings to daily work operations."
analytical-methods-in-biomedical-sciences,analytical methods in biomedical sciences,knowledge,sector-specific,"The various research, mathematical or analytical methods used in biomedical sciences."
android-mobile-operating-systems,Android (mobile operating systems),knowledge,sector-specific,"The system software Android consists of features, restrictions, architectures and other characteristics of operating systems designed to run on mobile devices."
angular,Angular,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Angular."
animate-3d-organic-forms,animate 3D organic forms,skill/competence,sector-specific,"Vitalise digital 3D models of organic items, such as emotions or face movements of characters and place them in a digital 3D environment."
ansible,Ansible,knowledge,sector-specific,"The tool Ansible is a software program to perform configuration identification, control, status accounting and audit."
answer-incoming-calls,answer incoming calls,skill/competence,cross-sector,Respond to customers' inquiries and provide customers with appropriate information.
answer-requests-for-quotation,answer requests for quotation,skill/competence,cross-sector,Make up prices and documents for the products that customers may purchase.
apache-maven,Apache Maven,knowledge,sector-specific,"The tool Apache Maven is a software program to perform configuration identification, control, status accounting and audit of software during its development and maintenance."
apache-tomcat,Apache Tomcat,knowledge,sector-specific,"The open-source web server Apache Tomcat provides a Java web server environment which uses a built in container where HTTP requests are loaded, allowing the Java web applications to run on local and server based systems."
apl,APL,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in APL."
apparel-manufacturing-technology,apparel manufacturing technology,knowledge,sector-specific,"Traditional and advanced apparel manufacturing technologies. Technologies including processes, machinery, etc. in order to compile and design pattern requirements, contribute to product costing and finalise assembly sequence and quality assurance criteria."
application-usability,application usability,knowledge,sector-specific,"The process through which the learnability, efficiency, usefulness and ease of use of a software application can be defined and measured."
apply-3d-imaging-techniques,apply 3D imaging techniques,skill/competence,sector-specific,"Implement a variety of techniques such as digital sculpting, curve modelling and 3D scanning to create, edit, preserve and use 3D images, such as point clouds, 3D vector graphic and 3D surface shapes."
apply-advanced-manufacturing,apply advanced manufacturing,skill/competence,cross-sector,"Improve production rates, efficiencies, yields, costs, and changeovers of products and processes using relevant advanced, innovative, and cutting edge technology."
apply-blended-learning,apply blended learning,skill/competence,cross-sector,"Be familiar with blended learning tools by combining traditional face-to-face and online learning, using digital tools, online technologies, and e-learning methods."
apply-business-acumen,apply business acumen,skill/competence,cross-sector,Take appropriate actions in a business environment in order to maximise possible outcome from each situation.
apply-change-management,apply change management,skill/competence,cross-sector,Manage development within an organisation by anticipating changes and making managerial decisions to ensure that the members involved are as less disturbed as possible.
apply-company-policies,apply company policies,skill/competence,cross-sector,Apply the principles and rules that govern the activities and processes of an organisation.
apply-conflict-management,apply conflict management,skill/competence,cross-sector,"Take ownership of the handling of all complaints and disputes showing empathy and understanding to achieve resolution. Be fully aware of all Social Responsibility protocols and procedures, and be able to deal with a problematic gambling situation in a professional manner with maturity and empathy."
apply-control-process-statistical-methods,apply control process statistical methods,skill/competence,cross-sector,Apply statistical methods from Design of Experiments (DOE) and Statistical Process Control (SPC) in order to control manufacturing processes.
apply-customer-engagement-strategy,apply customer engagement strategy,skill/competence,cross-sector,Engage customers with a company or a brand by employing several methods such as humanisation of the brand and social media usage. The initiative for engagement can come either from the consumer or the company and the medium of engagement can be online as well as offline.
apply-desktop-publishing-techniques,apply desktop publishing techniques,skill/competence,cross-sector,Apply desktop publishing techniques to create page layouts and typographic quality text.
apply-for-government-funding,apply for government funding,skill/competence,cross-sector,"Gather information on and apply for subsidies, grants, and other financing programmes provided by the government to small- and large-scale projects or organisations in various fields."
apply-for-research-funding,apply for research funding,skill/competence,cross-sector,Identify key relevant funding sources and prepare research grant application in order to obtain funds and grants. Write research proposals.
apply-gaming-psychology,apply gaming psychology,skill/competence,sector-specific,Employ human psychology principles for gaming development strategies in order to create appealing games.
apply-good-clinical-practices,apply good clinical practices,skill/competence,sector-specific,"Ensure compliance with and application of the ethical and scientific quality standards used to conduct, record and report clinical trials that involve human participation, at an international level."
apply-grammar-and-spelling-rules,apply grammar and spelling rules,skill/competence,cross-sector,Apply the rules of spelling and grammar and ensure consistency throughout texts.
apply-health-and-safety-standards,apply health and safety standards,skill/competence,cross-sector,Adhere to standards of hygiene and safety established by respective authorities.
apply-ict-system-usage-policies,apply ICT system usage policies,skill/competence,sector-specific,Follow written and ethical laws and policies regarding proper ICT system usage and administration.
apply-ict-systems-theory,apply ICT systems theory,skill/competence,sector-specific,Implement principles of ICT systems theory in order to explain and document system characteristics that can be applied universally to other systems
apply-information-security-policies,apply information security policies,skill/competence,sector-specific,"Implement policies, methods and regulations for data and information security in order to respect confidentiality, integrity and availability principles."
apply-intercultural-teaching-strategies,apply intercultural teaching strategies,skill/competence,cross-sector,"Ensure that the content, methods, materials and the general learning experience is inclusive for all students and takes into account the expectations and experiences of learners from diverse cultural backgrounds. Explore individual and social stereotypes and develop cross-cultural teaching strategies."
apply-operations-for-an-itil-based-environment,apply operations for an ITIL-based environment,skill/competence,occupation-specific,Properly operate ITIL (Information Technology Infrastructure Library) based service desk procedures.
apply-organisational-techniques,apply organisational techniques,skill/competence,cross-sector,"Employ a set of organisational techniques and procedures which facilitate the achievement of the set goals set such as detailed planning of personnel's schedules. Use these resources efficiently and sustainably, and show flexibility when required."
apply-publicity-code,apply publicity code,skill/competence,occupation-specific,"Apply legislation and rules to present products to a public in texts, pictures and other symbols."
apply-research-ethics-and-scientific-integrity-principles-in-research-activities,apply research ethics and scientific integrity principles in research activities,skill/competence,cross-sector,"Apply fundamental ethical principles and legislation to scientific research, including issues of research integrity. Perform, review, or report research avoiding misconducts such as fabrication, falsification, and plagiarism."
apply-reverse-engineering,apply reverse engineering,skill/competence,sector-specific,"Use techniques to extract information or disassemble an ICT component, software or system in order to analyse, correct and reassemble or reproduce it."
apply-risk-management-processes,apply risk management processes,skill/competence,cross-sector,"Identify risks and apply a risk management process, e.g. hazard analysis and critical control points (HACCP)."
apply-social-media-marketing,apply social media marketing,skill/competence,cross-sector,"Employ website traffic of social media such as Facebook and Twitter to generate attention and participation of existing and potential customers through discussion forums, web logs, microblogging and social communities for gaining a quick overview or insight into topics and opinions in the social web and handle inbound leads or inquiries."
apply-soldering-techniques,apply soldering techniques,skill/competence,cross-sector,"Apply and work with a variety of techniques in the process of soldering, such as soft soldering, silver soldering, induction soldering, resistance soldering, pipe soldering, mechanical and aluminium soldering."
apply-statistical-analysis-techniques,apply statistical analysis techniques,skill/competence,cross-sector,"Use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ICT tools to analyse data, uncover correlations and forecast trends."
apply-strategic-thinking,apply strategic thinking,skill/competence,cross-sector,"Apply generation and effective application of business insights and possible opportunities, in order to achieve competitive business advantage on a long-term basis."
apply-system-organisational-policies,apply system organisational policies,skill/competence,cross-sector,"Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation."
apply-systemic-design-thinking,apply systemic design thinking,skill/competence,cross-sector,"Apply the process of combining systems thinking methodologies with human-centred design in order to solve complex societal challenges in an innovative and sustainable way. This is most often applied in social innovation practices that focus less on designing stand-alone products and services to designing complex service systems, organizations or policies that bring value to the society as a whole."
apply-teaching-strategies,apply teaching strategies,skill/competence,cross-sector,"Employ various approaches, learning styles, and channels to instruct students, such as communicating content in terms they can understand, organising talking points for clarity, and repeating arguments when necessary. Use a wide range of teaching devices and methodologies appropriate to the class content, the learners' level, goals, and priorities."
apply-technical-communication-skills,apply technical communication skills,skill/competence,cross-sector,"Explain technical details to non-technical customers, stakeholders, or any other interested parties in a clear and concise manner."
apply-tools-for-content-development,apply tools for content development,skill/competence,cross-sector,"Use specialised content development tools such as content and terminology management systems, translation memory systems, language checker and editors to generate, compile and transform content according to specified standards."
approve-engineering-design,approve engineering design,skill/competence,cross-sector,Give consent to the finished engineering design to go over to the actual manufacturing and assembly of the product.
archive-documentation-related-to-work,archive documentation related to work,skill/competence,sector-specific,Select relevant documentation related to the ongoing or complete work and take steps to archive it in a way that ensures its future accessibility.
arrange-parent-teacher-meeting,arrange parent teacher meeting,skill/competence,cross-sector,Set up joined and individual meetings with students' parents to discuss their child's academic progress and general well-being.
art-history,art history,knowledge,sector-specific,"The history of art and artists, the artistic trends throughout centuries and their contemporary evolutions."
artificial-lighting-systems,artificial lighting systems,knowledge,sector-specific,"Types of artificial lighting and their power consumption. HF fluorescent lighting, LED lighting, natural daylight and programmed control systems allow an efficient use of energy."
artificial-neural-networks,artificial neural networks,knowledge,cross-sector,A network of artificial neurons composed for solving artificial intelligence problems. These computing systems are inspired by the biological neural networks that constitute brains. Understanding of its general model and its elements. Knowledge of its use possibilities for automation.
asp-net,ASP.NET,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ASP.NET."
assemble-hardware-components,assemble hardware components,skill/competence,cross-sector,"Assemble the necessary hardware components, such as the motherboard, Central Processing Unit (CPU), hard drive, disk drive, power supply unit, RAM, PCI card, mouse, keyboard, cameras and other necessary components to build the computer device. Attach the components manually using screwdrivers or use assembly machines and install the wiring."
assemble-mechatronic-units,assemble mechatronic units,skill/competence,sector-specific,"Assemble mechatronic units using mechanical, pneumatic, hydraulic, electrical, electronic, and information technology systems and components. Manipulate and attach metals through using welding and soldering techniques, glue, screws, and rivets. Install wiring. Install drive systems, sensors, actuators, and transducers. Mount switches, control devices, coverings, and protection."
assemble-performance-equipment,assemble performance equipment,skill/competence,sector-specific,"Set up sound, light and video equipment on stage before performance event according to specifications."
assemble-robots,assemble robots,skill/competence,sector-specific,"Assemble robotic machines, devices, and components according to engineering drawings. Program and install the necessary components of robotic systems, such as robot controllers, conveyors, and end-of-arm tools."
assemble-sensors,assemble sensors,skill/competence,sector-specific,Mount chips on a sensor substrate and attach them using soldering or wafer bumping techniques.
assemble-video-tape-footage,assemble video tape footage,skill/competence,sector-specific,"Assemble all raw video footage, with camera shots either recorded or transferred onto video tape in preparation for inputting into the computer."
assembly-computer-programming,Assembly (computer programming),knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Assembly."
assess-conservation-needs,assess conservation needs,skill/competence,sector-specific,"Assess and list the needs for conservation/restoration, in relation to current use and planned future use."
assess-employees-capability-levels,assess employees' capability levels,skill/competence,cross-sector,Evaluate the capabilities of employees by creating criteria and systematic testing methods for measuring expertise of individuals within an organisation.
assess-financial-viability,assess financial viability,skill/competence,cross-sector,"Revise and analyse financial information and requirements of projects such as their budget appraisal, expected turnover, and risk assessment for determining the benefits and costs of the project. Assess if the agreement or project will redeem its investment, and whether the potential profit is worth the financial risk."
assess-ict-knowledge,assess ICT knowledge,skill/competence,sector-specific,Evaluate the implicit mastery of skilled experts in an ICT system to make it explicit for further analysis and usage.
assess-informational-needs,assess informational needs,skill/competence,sector-specific,Communicate with clients or users in order to identify which information they require and the methods with which they can access it.
assess-power-needs,assess power needs,skill/competence,cross-sector,Prepare and manage the provision of electrical power for different areas.
assess-sound-quality,assess sound quality,skill/competence,sector-specific,Assess the recorded sound and music. Make sure it conforms to specifications.
assess-students,assess students,skill/competence,cross-sector,"Evaluate the students' (academic) progress, achievements, course knowledge and skills through assignments, tests, and examinations. Diagnose their needs and track their progress, strengths, and weaknesses. Formulate a summative statement of the goals the student achieved."
assess-supplier-risks,assess supplier risks,skill/competence,sector-specific,"Evaluate supplier performance in order to assess if suppliers follow the agreed contracts, meet the standard requirements and provide the desired quality."
assess-users-interaction-with-ict-applications,assess users' interaction with ICT applications,skill/competence,sector-specific,"Evaluate how users interact with ICT applications in order to analyse their behaviour, draw conclusions (for instance about their motives, expectations and goals) and improve applications' functionalities."
assessment-processes,assessment processes,knowledge,cross-sector,"Various evaluation techniques, theories, and tools applicable in the assessment of students, participants in a programme, and employees. Different assessment strategies such as initial, formative, summative and self- assessment are used for varying purposes."
assign-homework,assign homework,skill/competence,sector-specific,"Provide additional exercises and assignments that the students will prepare at home, explain them in a clear way, and determine the deadline and evaluation method."
assist-children-with-special-needs-in-education-settings,assist children with special needs in education settings,skill/competence,sector-specific,"Assist children with special needs, identifying their needs, modifying classroom equipment to accommodate them and helping them participate in school activities."
assist-customers,assist customers,skill/competence,sector-specific,"Provide support and advice to customers in making purchasing decisions by finding out their needs, selecting suitable service and products for them and politely answering questions about products and services."
assist-in-the-organisation-of-school-events,assist in the organisation of school events,skill/competence,cross-sector,"Provide assistance in the planning and organisation of school events, such as the school's open house day, a sports game or a talent show."
assist-scientific-research,assist scientific research,skill/competence,cross-sector,"Assist engineers or scientists with conducting experiments, performing analysis, developing new products or processes, constructing theory, and quality control."
assist-students-in-their-learning,assist students in their learning,skill/competence,cross-sector,"Support and coach students in their work, give learners practical support and encouragement."
assist-students-with-equipment,assist students with equipment,skill/competence,cross-sector,Provide assistance to students when working with (technical) equipment used in practice-based lessons and solve operational problems when necessary.
assist-with-litigation-matters,assist with litigation matters,skill/competence,cross-sector,"Provide assistance with the management of litigation matters, including document collection and investigation."
assistive-technology-in-education,assistive technology in education,knowledge,occupation-specific,"Digital devices and equipment that support learners with learning, communication or mobility challenges to access educational resources and achieve their full potential. It includes software such as text to speech and optical character recognition."
attack-vectors,attack vectors,knowledge,sector-specific,"Method or pathway deployed by hackers to penetrate or target systems with the end to extract information, data, or money from private or public entities."
attend-music-recording-sessions,attend music recording sessions,skill/competence,sector-specific,Attend recording sessions in order to make changes or adaptations to the musical score.
attend-rehearsals,attend rehearsals,skill/competence,cross-sector,"Attend rehearsals in order to adapt sets, costumes, make-up, lighting, camera set up, etc."
attend-to-ict-systems-quality,attend to ICT systems quality,skill/competence,sector-specific,"Ensure correct operations which comply fully with specific needs and outcomes in terms of the development, integration, security and overall management of ICT systems."
audio-editing-software,audio editing software,knowledge,cross-sector,"The various software for editing and generating audio, such as Adobe Audition, Soundforge, and Power Sound Editor."
audio-mastering,audio mastering,knowledge,sector-specific,The post-production process where the finished recorded audio is transferred to a data storage device from which it will be copied.
audio-post-production,audio post-production,knowledge,sector-specific,The mixing process after the music recording phase where each song is edited individually into a finished product.
audio-technology,audio technology,knowledge,cross-sector,"The various technologies for producing, recording, and reproducing sound."
audiovisual-equipment,audiovisual equipment,knowledge,sector-specific,The characteristics and usage of different tools that stimulate the sight and audio senses.
